Speaker_ID,main_speaker
597,Carter Emmart
598,Mitchell Joachim
599,Benoit Mandelbrot
600,Ellen  Gustafson
601,Carl Safina
602,Matt Ridley
603,Ethan Zuckerman
604,Elif Shafak
605,Julian Assange
606,Naif Al-Mutawa
607,Dimitar Sasselov
608,Tan Le
609,Kevin Stone
610,Sheena Iyengar
611,Susan Shaw
612,John Delaney
613,Laurie Santos
614,Jason Clay
615,Sheryl WuDunn
616,Diane J. Savino
617,Peter Molyneux
618,Jamil Abu-Wardeh
619,Maz Jobrani
620,Seth Priebatsch
621,David McCandless
622,Lee Hotz
623,Jeremy Rifkin
624,Jim Toomey
625,Lisa Margonelli
626,Dan Cobley
627,Nic Marks
628,Johan Rockstrom
629,His Holiness the Karmapa
630,Rachel Sussman
631,Alwar Balasubramaniam
632,Carne Ross
633,Ben Cameron
634,Rob Dunbar
635,Jessa Gamble
636,Caroline Phillips
637,Christien Meindertsma
638,Mitchell Besser
639,Annie Lennox
640,Fabian Hemmert
641,Tim Birkhead
642,Gary Wolf
643,Sebastian Seung
644,Inge Missmahl
645,Mechai Viravaidya
646,Eben Bayer
647,Tim Jackson
648,Barbara Block
649,Stacey Kramer
650,Stefano Mancuso
651,Melinda Gates
652,Peter Haas
653,Natalie Jeremijenko
654,Joel Burns
655,Jessica Jackley
656,Heribert Watzke
657,Dianna Cohen
658,Patrick Chappatte
659,"David Byrne, Ethel + Thomas Dolby"
660,R.A. Mashelkar
661,Joseph Nye
662,Barton Seaver
663,Shimon Steinberg
664,Miwa Matreyek
665,Tom Chatfield
666,David Bismark
667,Greg Stone
668,Gero Miesenboeck
669,Andrew Bird
670,Emily Pilloton
671,Stefan Wolff
672,Aaron Huey
673,Auret van Heerden
674,Eric Berlow
675,Conrad Wolfram
676,Denis Dutton
677,Shimon Schocken
678,John Hardy
679,Kristina Gjerde
680,Kim Gorgens
681,Zainab Salbi
682,Jason Fried
683,Dan Phillips
684,Birke Baehr
685,William Ury
686,Marcel Dicke
687,Bart Weetjens
688,Arthur Potts Dawson
689,Halla TÃ³masdÃ³ttir
690,Tony Porter
691,Kiran Bedi
692,Hanna Rosin
693,Diana Laufenberg
694,Rufus Griscom + Alisa Volkman
695,Rachel Botsman
696,Beverly + Dereck Joubert
697,Sheryl Sandberg
698,BrenÃ© Brown
699,Arianna Huffington
700,Lesley Hazleton
701,Charles Limb
702,Deborah Rhodes
703,Neil Pasricha
704,Jody Williams
705,Amber Case
706,Thomas Thwaites
707,Elizabeth Lesser
708,Ali Carr-Chellman
709,Naomi Klein
710,Charity Tillemann-Dick
711,Van Jones
712,Anders Ynnerman
